* Block Type = 96well,,,,,,,,,,,,,,,,,,,,
* Chemistry = TAQMAN,,,,,,,,,,,,,,,,,,,,
* Experiment File Name = E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,,
* Experiment Run End Time = Not Started,,,,,,,,,,,,,,,,,,,,
* Instrument Type = steponeplus,,,,,,,,,,,,,,,,,,,,
* Passive Reference = ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[Results],,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL,THOLDFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,,,,,,,,,,,,,,,,,,N,N,N
A3,,,,,,,,,,,,,,,,,,N,N,N
A4,,,,,,,,,,,,,,,,,,N,N,N
A5,,,,,,,,,,,,,,,,,,N,N,N
A6,,,,,,,,,,,,,,,,,,N,N,N
A7,,,,,,,,,,,,,,,,,,N,N,N
A8,,,,,,,,,,,,,,,,,,N,N,N
A9,,,,,,,,,,,,,,,,,,N,N,N
A10,,,,,,,,,,,,,,,,,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,103,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,31,,N,N,N
B2,103,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,30,,N,N,N
B3,103,C,UNKNOWN,VIC,NFQ-MGB,27.9566,28.0403,0.1184,,,,TRUE,0.0123,TRUE,3,26,,N,N,Y
B3,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B4,103,C,UNKNOWN,VIC,NFQ-MGB,28.124,28.0403,0.1184,,,,TRUE,0.0123,TRUE,3,27,,N,N,Y
B4,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
B5,103A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B6,103A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,N
B7,103A,C,UNKNOWN,VIC,NFQ-MGB,25.4638,25.4756,0.0168,,,,TRUE,0.0123,TRUE,3,24,,N,N,Y
B7,103A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.1933,TRUE,3,39,,N,N,Y
