Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL,THOLDFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,,,,,,,,,,,,,,,,,,N,N,N
A3,,,,,,,,,,,,,,,,,,N,N,N
A4,,,,,,,,,,,,,,,,,,N,N,N
A5,,,,,,,,,,,,,,,,,,N,N,N
A6,,,,,,,,,,,,,,,,,,N,N,N
A7,,,,,,,,,,,,,,,,,,N,N,N
A8,,,,,,,,,,,,,,,,,,N,N,N
A9,,,,,,,,,,,,,,,,,,N,N,N
A10,,,,,,,,,,,,,,,,,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,103,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,33,,N,N,Y
B2,103,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,31,,N,N,Y
B3,103,C,UNKNOWN,VIC,NFQ-MGB,29.84318924,30.02070236,0.251041472,,,,TRUE,0.042288946,TRUE,3,26,,N,Y,N
B3,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
B4,103,C,UNKNOWN,VIC,NFQ-MGB,30.19821548,30.02070236,0.251041472,,,,TRUE,0.042288946,TRUE,3,27,,N,Y,N
B4,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
B5,103 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,Y
B6,103 A,Mcap,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.0001,TRUE,3,23,,N,N,Y
B7,103 A,C,UNKNOWN,VIC,NFQ-MGB,27.15441895,27.06990433,0.119520374,,,,TRUE,0.042288946,TRUE,3,24,,N,Y,N
B7,103 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.224587046,TRUE,3,39,,N,Y,N
